 8352  1  29% S   122 494852K  85736K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  23% S   122 494868K  85760K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  28% S   122 494892K  85800K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  31% S   122 494904K  85824K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  25% S   122 494904K  85832K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  23% S   122 494904K  85840K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  21% S   122 494904K  85844K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  22% S   122 494904K  85848K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  25% S   122 494920K  85868K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  0  31% R   123 498364K  86552K  fg u0_a101  com.google.android.apps.youtube.mango
 8352  1  24% S   117 473124K  74596K  bg u0_a101  com.google.android.apps.youtube.mango
 8352  0   8% S   117 473124K  74596K  bg u0_a101  com.google.android.apps.youtube.mango
