 3805  1  20% S   120 486240K  81516K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  20% S   120 486240K  81524K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  20% S   120 486240K  81308K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  25% S   120 486240K  81388K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  27% S   120 486240K  81408K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  20% S   120 486240K  81416K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  19% S   120 486240K  81424K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  24% S   120 486236K  81444K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  27% S   120 486236K  81388K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  19% S   120 486236K  81368K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  20% S   120 486236K  81208K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  25% S   119 485180K  81292K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  27% R   113 459416K  69024K  bg u0_a101  com.google.android.apps.youtube.mango
 3805  0  37% S   119 478136K  79640K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  36% S   120 486408K  82716K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  20% S   120 486408K  82612K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  21% R   119 485180K  78508K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  27% S   118 484124K  78548K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  28% S   117 483068K  78568K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  21% S   117 483068K  78576K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  21% S   117 483068K  78580K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  18% S   117 483068K  78588K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  25% S   117 483068K  78592K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  20% S   117 483068K  78600K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  20% S   117 483068K  78604K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  19% S   114 479900K  78588K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  26% S   114 479900K  78612K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  30% S   119 485180K  78768K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  1  25% S   114 465712K  72236K  fg u0_a101  com.google.android.apps.youtube.mango
 3805  0  21% S   114 461180K  67816K  bg u0_a101  com.google.android.apps.youtube.mango
 3805  0   8% S   114 461180K  67820K  bg u0_a101  com.google.android.apps.youtube.mango
